fold_id,test_year,endpoint_id,endpoint_label,variant_id,n_predictors_raw,n_encoded_features_train,n_encoded_features_final,selected_rounds,tune_score
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_HELMET,47,68,68,1038,0.680688600957596
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,46,61,61,973,0.682886981246244
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,1014,0.701216308513132
TEST_2023,2023,icu_trajectory_final,ICU trajectory,NO_PMHX,36,61,61,957,0.684816227497196
TEST_2023,2023,icu_trajectory_final,ICU trajectory,CORE_NEURO,24,32,32,755,0.715885924028124
TEST_2023,2023,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,26,41,41,712,0.712047237989725
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,48,73,73,923,0.351505714762077
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,47,69,69,1034,0.351838352682525
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,46,64,64,958,0.353854089754388
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,845,0.352703102898893
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,44,62,62,808,0.356014016684314
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,47,68,68,988,0.351550129689878
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,46,61,61,848,0.353420696128002
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,877,0.358954717641058
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,36,61,61,847,0.353830534035615
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,24,32,32,731,0.371530349212656
TEST_2023,2023,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,26,41,41,691,0.366807821490321
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,FULL_REFERENCE,48,73,73,1023,0.588857768777257
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_RESP_ASSISTANCE,47,69,69,1091,0.588907981100617
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_RESP_SUPPORT,46,64,64,1059,0.589620697855627
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,1010,0.589399497037945
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_AIRWAY_PROXY_SET,44,62,62,950,0.590248319971055
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_HELMET,47,68,68,1021,0.589116496821732
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_MECHANISM_HELMET,46,61,61,895,0.591476337006812
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,872,0.615691497436604
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,NO_PMHX,36,61,61,1018,0.593555045625382
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,CORE_NEURO,24,32,32,739,0.630364163772887
TEST_2023,2023,hlos_trajectory_final,Hospital LOS trajectory,CORE_NEURO_PLUS_RESP,26,41,41,715,0.628305723109851
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,FULL_REFERENCE,48,73,73,536,0.107801966066293
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_ASSISTANCE,47,69,69,543,0.107820411404194
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_RESP_SUPPORT,46,64,64,428,0.107819715355203
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,461,0.107826860508653
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_AIRWAY_PROXY_SET,44,62,62,423,0.108052232012097
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_HELMET,47,68,68,534,0.107753163073695
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_MECHANISM_HELMET,46,61,61,417,0.108451310851034
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_NONCRANIAL_INJURY_PHENOTYPES,42,67,67,484,0.108034571641448
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,NO_PMHX,36,61,61,416,0.107862697408164
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO,24,32,32,366,0.109554073792328
TEST_2023,2023,icp_pressure_monitor_final,Invasive ICP monitoring,CORE_NEURO_PLUS_RESP,26,41,41,352,0.109506307666636
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,FULL_REFERENCE,48,73,73,632,0.131105341911734
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_ASSISTANCE,47,69,69,603,0.131152463234811
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_RESP_SUPPORT,46,64,64,580,0.131100017075351
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_GCS_AIRWAY_QUALIFIERS,46,71,71,561,0.131255242741796
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_AIRWAY_PROXY_SET,44,62,62,633,0.131223844678681
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_HELMET,47,68,68,594,0.131100299681749
TEST_2023,2023,craniotomy_craniectomy_final,Craniotomy/craniectomy,NO_MECHANISM_HELMET,46,61,61,605,0.132485852262896
