fold_id,test_year,endpoint_id,endpoint_label,variant_id,class,selected_rounds,N,events,prevalence,AUROC,AUPRC,Brier,calibration_intercept,calibration_slope
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_MECHANISM_HELMET,Any ICU use,737,152944,76867,0.502582644628099,0.856993610008166,0.856001585017478,0.153495429797977,-0.0417176971429612,1.03737098528297
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,No ICU,734,152944,76077,0.497417355371901,0.848172955215154,0.845261377883486,0.1582977305789,0.0335973434783805,1.02985053678858
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,ICU 1-7 days,734,152944,58888,0.385029814834188,0.751693507215615,0.607195760947177,0.192716367805541,-0.0564839941678867,1.01477747008569
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,ICU >=8 days,734,152944,17979,0.117552829793912,0.867408788232826,0.520762809775499,0.0752142763301495,0.0750244719938378,1.00003778821937
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,Any ICU use,734,152944,76867,0.502582644628099,0.848172955215154,0.849964975153668,0.1582977305789,-0.0335973434783805,1.02985053678858
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_PMHX,No ICU,738,152944,76077,0.497417355371901,0.854557514332861,0.858752884363332,0.154508891148452,0.0416948463993857,1.03726109062177
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_PMHX,ICU 1-7 days,738,152944,58888,0.385029814834188,0.755383599420871,0.608174318869556,0.190798756855259,-0.0600059371259986,1.01942282760708
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_PMHX,ICU >=8 days,738,152944,17979,0.117552829793912,0.879223526662796,0.537997673160567,0.0734720794405334,0.0683763204830681,1.00847056413483
TEST_2022,2022,icu_trajectory_final,ICU trajectory,NO_PMHX,Any ICU use,738,152944,76867,0.502582644628099,0.854557514332861,0.8539543997446,0.154508891148452,-0.0416948463993858,1.03726109062177
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO,No ICU,523,152944,76077,0.497417355371901,0.840300731506623,0.835458376027668,0.1620670500131,0.0400309391860557,1.0314347833881
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO,ICU 1-7 days,523,152944,58888,0.385029814834188,0.74371675377222,0.595961353509396,0.195026978069412,-0.0590569949949524,1.02101190951885
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO,ICU >=8 days,523,152944,17979,0.117552829793912,0.856941232930163,0.501432648166927,0.0771100453267768,0.0660422457822847,0.999363122937493
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO,Any ICU use,523,152944,76867,0.502582644628099,0.840300731506623,0.842036749809639,0.1620670500131,-0.0400309391860559,1.0314347833881
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,No ICU,513,152944,76077,0.497417355371901,0.842448550411445,0.838358490261975,0.160995632277412,0.0342426534096839,1.03020666707209
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,ICU 1-7 days,513,152944,58888,0.385029814834188,0.745199962481632,0.598466888524592,0.194496038477258,-0.0556869775543994,1.02054890502071
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,ICU >=8 days,513,152944,17979,0.117552829793912,0.859385590297107,0.504000550312394,0.0768112117430131,0.0702136664665428,1.00114309853868
TEST_2022,2022,icu_trajectory_final,ICU trajectory,CORE_NEURO_PLUS_RESP,Any ICU use,513,152944,76867,0.502582644628099,0.842448550411445,0.844053247977824,0.160995632277412,-0.034242653409684,1.03020666707209
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,No ventilation,736,152944,119521,0.781469034417826,0.940536693854295,0.978845010621838,0.0663448269118608,0.0492811101625854,1.0292760000806
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,Ventilation 1-7 days,736,152944,22833,0.149289936185794,0.902327234034224,0.652258364264183,0.0775914829222678,-0.0388502734668003,1.02550350270392
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,Ventilation >=8 days,736,152944,10590,0.0692410293963804,0.914112795492353,0.469094874533929,0.0466068898114343,-0.00628334682037351,1.03232331074185
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,FULL_REFERENCE,Any ventilation,736,152944,33423,0.218530965582174,0.940536693854295,0.868235007580335,0.0663448269118608,-0.0492811101625855,1.0292760000806
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,No ventilation,734,152944,119521,0.781469034417826,0.940460333388496,0.978840867040226,0.0664814686627419,0.0508134285729321,1.03004176417765
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,Ventilation 1-7 days,734,152944,22833,0.149289936185794,0.902262358272495,0.651487764237376,0.0776663775065675,-0.0398019343334594,1.02619303502384
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,Ventilation >=8 days,734,152944,10590,0.0692410293963804,0.914164352714282,0.469059704298973,0.0465968261346231,-0.00701881001119799,1.03367195831558
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_ASSISTANCE,Any ventilation,734,152944,33423,0.218530965582174,0.940460333388496,0.867651083451623,0.0664814686627419,-0.050813428572932,1.03004176417765
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,No ventilation,652,152944,119521,0.781469034417826,0.939340395827681,0.978439966310652,0.0670231736138264,0.0561811342142298,1.03249070486715
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,Ventilation 1-7 days,652,152944,22833,0.149289936185794,0.901093559158564,0.649181855586623,0.0779148094760563,-0.0435654219431515,1.02876844656169
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,Ventilation >=8 days,652,152944,10590,0.0692410293963804,0.913127363279798,0.466567229700174,0.0467440969956238,-0.00894118244862513,1.0392079870478
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_RESP_SUPPORT,Any ventilation,652,152944,33423,0.218530965582174,0.939340395827681,0.865201297706771,0.0670231736138264,-0.0561811342142298,1.03249070486715
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,No ventilation,711,152944,119521,0.781469034417826,0.940135529113985,0.978721454987814,0.0666791927659919,0.0512982561796824,1.02960768134651
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,Ventilation 1-7 days,711,152944,22833,0.149289936185794,0.90186327040488,0.650719486739713,0.0778054494991216,-0.0399366729430588,1.02684285492573
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,Ventilation >=8 days,711,152944,10590,0.0692410293963804,0.91383743558979,0.468140876610732,0.0466524974001058,-0.00755646173968856,1.0336004967603
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_GCS_AIRWAY_QUALIFIERS,Any ventilation,711,152944,33423,0.218530965582174,0.940135529113985,0.86639342409002,0.0666791927659919,-0.0512982561796823,1.02960768134651
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,No ventilation,614,152944,119521,0.781469034417826,0.93858261581397,0.978216723655588,0.0676540785684372,0.0562790595691509,1.03247347422119
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,Ventilation 1-7 days,614,152944,22833,0.149289936185794,0.90024382063263,0.645495939973257,0.078315078424793,-0.043463544311247,1.03084140378475
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,Ventilation >=8 days,614,152944,10590,0.0692410293963804,0.912876438730334,0.465140770671409,0.0467903084912747,-0.00953366274813294,1.03901203153487
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_AIRWAY_PROXY_SET,Any ventilation,614,152944,33423,0.218530965582174,0.93858261581397,0.861622979606378,0.0676540785684372,-0.056279059569151,1.03247347422119
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,No ventilation,618,152944,119521,0.781469034417826,0.940368507375646,0.978770042420706,0.0664212093086805,0.0492405420345215,1.03158764038256
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,Ventilation 1-7 days,618,152944,22833,0.149289936185794,0.902245040016018,0.652513763618958,0.0775839647433195,-0.0390852863127985,1.02793867376752
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,Ventilation >=8 days,618,152944,10590,0.0692410293963804,0.913915009229077,0.468564484163728,0.0466297941816038,-0.00590535312273055,1.03880667663886
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_HELMET,Any ventilation,618,152944,33423,0.218530965582174,0.940368507375646,0.868044722195583,0.0664212093086805,-0.0492405420345215,1.03158764038256
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,No ventilation,663,152944,119521,0.781469034417826,0.939879376312961,0.978614464104033,0.0667783003561691,0.0516524920915567,1.0279619261614
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,Ventilation 1-7 days,663,152944,22833,0.149289936185794,0.901547263346337,0.64831023083137,0.0779175364821672,-0.0404434786340042,1.02576854514598
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,Ventilation >=8 days,663,152944,10590,0.0692410293963804,0.912659609050536,0.463758716905532,0.0468666472071976,-0.00703106185826271,1.03523934992978
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_MECHANISM_HELMET,Any ventilation,663,152944,33423,0.218530965582174,0.939879376312961,0.867103940610573,0.0667783003561691,-0.0516524920915567,1.0279619261614
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,No ventilation,620,152944,119521,0.781469034417826,0.935655795893067,0.976408797641746,0.0678075379645044,0.0428249125678436,1.02801195014111
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,Ventilation 1-7 days,620,152944,22833,0.149289936185794,0.898404616880254,0.648184156276605,0.0780915860622618,-0.0364261236401359,1.02447963447156
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,Ventilation >=8 days,620,152944,10590,0.0692410293963804,0.906523100658915,0.456773328321544,0.0473608797152218,-0.00185472593420029,1.03450707064045
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_NONCRANIAL_INJURY_PHENOTYPES,Any ventilation,620,152944,33423,0.218530965582174,0.935655795893067,0.862350457152085,0.0678075379645044,-0.0428249125678436,1.02801195014111
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,No ventilation,673,152944,119521,0.781469034417826,0.938922995279427,0.978149764377987,0.0669217277174168,0.0492294910827166,1.02762032697957
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,Ventilation 1-7 days,673,152944,22833,0.149289936185794,0.900811416268454,0.650414020204672,0.0779116689647455,-0.0391770904535774,1.02396328204492
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,Ventilation >=8 days,673,152944,10590,0.0692410293963804,0.912477595951297,0.466535865442554,0.0467313395374457,-0.00596081849395184,1.03194893817418
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,NO_PMHX,Any ventilation,673,152944,33423,0.218530965582174,0.938922995279427,0.866320985321713,0.0669217277174168,-0.0492294910827165,1.02762032697957
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,No ventilation,451,152944,119521,0.781469034417826,0.929119255684918,0.973694900140235,0.0708625126571141,0.0488598709808117,1.0280543869308
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,Ventilation 1-7 days,451,152944,22833,0.149289936185794,0.891860017142992,0.629575695816319,0.079876695259273,-0.0409910016466476,1.0270816971535
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,Ventilation >=8 days,451,152944,10590,0.0692410293963804,0.898445977677668,0.436752668612472,0.0484605934348753,-0.00443289716024272,1.04184916141595
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO,Any ventilation,451,152944,33423,0.218530965582174,0.929119255684918,0.848813982821644,0.0708625126571141,-0.0488598709808117,1.0280543869308
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,No ventilation,495,152944,119521,0.781469034417826,0.931830864286571,0.974739627987342,0.0694603022096789,0.0431145586920533,1.02635817209182
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,Ventilation 1-7 days,495,152944,22833,0.149289936185794,0.89449880347912,0.63545017879969,0.0792269273908307,-0.0362287691511517,1.02552938460173
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,Ventilation >=8 days,495,152944,10590,0.0692410293963804,0.900508994567441,0.439169829261341,0.0482896918029124,-0.0030450004616374,1.03600744532869
TEST_2022,2022,ventilation_trajectory_final,Mechanical ventilation trajectory,CORE_NEURO_PLUS_RESP,Any ventilation,495,152944,33423,0.218530965582174,0.931830864286571,0.855640289346076,0.0694603022096789,-0.0431145586920533,1.02635817209182
TEST_2022,2022,hlos_trajectory_final,Hospital LOS trajectory,FULL_REFERENCE,Hospital LOS <=7 days,782,152708,107377,0.703152421615109,0.810657249320853,0.904937296428729,0.153481095476121,-0.111916548538093,1.00033429364591
TEST_2022,2022,hlos_trajectory_final,Hospital LOS trajectory,FULL_REFERENCE,Hospital LOS 8-27 days,782,152708,37478,0.245422636666056,0.761428315071748,0.476442749544574,0.15660952021828,0.0768704746504057,0.958659381606083
